训练参数数量: 168/2293760
{'loss': 13.6976, 'grad_norm': 4.873683452606201, 'learning_rate': 0.0002992436974789916, 'epoch': 0.01}
{'loss': 4.9782, 'grad_norm': 3.12005615234375, 'learning_rate': 0.0002378991596638655, 'epoch': 0.62}
{'loss': 5.2581, 'grad_norm': 2.5793612003326416, 'learning_rate': 0.00023705882352941174, 'epoch': 0.63}
{'loss': 5.1575, 'grad_norm': 2.5353331565856934, 'learning_rate': 0.00023621848739495795, 'epoch': 0.64}
{'loss': 5.1929, 'grad_norm': 2.621708869934082, 'learning_rate': 0.00023537815126050418, 'epoch': 0.65}
{'loss': 5.2102, 'grad_norm': 2.33084774017334, 'learning_rate': 0.0002345378151260504, 'epoch': 0.66}
{'loss': 5.1212, 'grad_norm': 2.2077746391296387, 'learning_rate': 0.00023369747899159663, 'epoch': 0.66}
{'loss': 5.0041, 'grad_norm': 2.7871859073638916, 'learning_rate': 0.00023285714285714283, 'epoch': 0.67}
{'loss': 5.2644, 'grad_norm': 3.1329832077026367, 'learning_rate': 0.00023201680672268907, 'epoch': 0.68}
{'loss': 5.4477, 'grad_norm': 2.8017218112945557, 'learning_rate': 0.00023117647058823527, 'epoch': 0.69}
{'loss': 5.1552, 'grad_norm': 2.894479274749756, 'learning_rate': 0.0002303361344537815, 'epoch': 0.7}
{'loss': 5.0857, 'grad_norm': 2.692221164703369, 'learning_rate': 0.0002294957983193277, 'epoch': 0.71}
{'loss': 4.9169, 'grad_norm': 3.1481308937072754, 'learning_rate': 0.00022865546218487392, 'epoch': 0.71}
{'loss': 5.1773, 'grad_norm': 2.430595636367798, 'learning_rate': 0.00022781512605042013, 'epoch': 0.72}
{'loss': 5.1741, 'grad_norm': 3.327522039413452, 'learning_rate': 0.00022697478991596636, 'epoch': 0.73}
{'loss': 5.1192, 'grad_norm': 2.3405158519744873, 'learning_rate': 0.00022613445378151257, 'epoch': 0.74}
{'loss': 5.1738, 'grad_norm': 2.534475326538086, 'learning_rate': 0.0002252941176470588, 'epoch': 0.75}
{'loss': 5.0738, 'grad_norm': 2.760806083679199, 'learning_rate': 0.00022445378151260504, 'epoch': 0.76}
{'loss': 4.7318, 'grad_norm': 3.9625141620635986, 'learning_rate': 0.00022361344537815124, 'epoch': 0.76}
{'loss': 5.1744, 'grad_norm': 3.28536057472229, 'learning_rate': 0.00022277310924369748, 'epoch': 0.77}
{'loss': 5.2629, 'grad_norm': 2.234426259994507, 'learning_rate': 0.00022193277310924369, 'epoch': 0.78}
{'loss': 5.074, 'grad_norm': 2.3327879905700684, 'learning_rate': 0.00022109243697478992, 'epoch': 0.79}
{'loss': 5.2593, 'grad_norm': 2.487175226211548, 'learning_rate': 0.0002202521008403361, 'epoch': 0.8}
{'loss': 5.1342, 'grad_norm': 3.2746775150299072, 'learning_rate': 0.00021941176470588233, 'epoch': 0.81}
{'loss': 5.2196, 'grad_norm': 2.349252223968506, 'learning_rate': 0.00021857142857142854, 'epoch': 0.82}
{'loss': 5.1281, 'grad_norm': 3.3313794136047363, 'learning_rate': 0.00021773109243697477, 'epoch': 0.82}
{'loss': 5.0604, 'grad_norm': 2.206331968307495, 'learning_rate': 0.00021689075630252098, 'epoch': 0.83}
{'loss': 5.2016, 'grad_norm': 2.482043504714966, 'learning_rate': 0.00021605042016806722, 'epoch': 0.84}
{'loss': 5.0137, 'grad_norm': 2.3333115577697754, 'learning_rate': 0.00021521008403361342, 'epoch': 0.85}
{'loss': 5.3251, 'grad_norm': 2.235085964202881, 'learning_rate': 0.00021436974789915966, 'epoch': 0.86}
{'loss': 5.0492, 'grad_norm': 2.9523401260375977, 'learning_rate': 0.00021352941176470586, 'epoch': 0.87}
{'loss': 5.0099, 'grad_norm': 2.675046443939209, 'learning_rate': 0.0002126890756302521, 'epoch': 0.87}
{'loss': 5.0715, 'grad_norm': 2.5816261768341064, 'learning_rate': 0.0002118487394957983, 'epoch': 0.88}
{'loss': 5.0818, 'grad_norm': 2.795300006866455, 'learning_rate': 0.00021100840336134454, 'epoch': 0.89}
{'loss': 5.1231, 'grad_norm': 2.5717759132385254, 'learning_rate': 0.00021016806722689072, 'epoch': 0.9}
{'loss': 5.0821, 'grad_norm': 2.5236923694610596, 'learning_rate': 0.00020932773109243695, 'epoch': 0.91}
{'loss': 5.1335, 'grad_norm': 2.5909247398376465, 'learning_rate': 0.00020848739495798316, 'epoch': 0.92}
{'loss': 5.0676, 'grad_norm': 2.7312259674072266, 'learning_rate': 0.0002076470588235294, 'epoch': 0.92}
{'loss': 5.0254, 'grad_norm': 2.4925317764282227, 'learning_rate': 0.0002068067226890756, 'epoch': 0.93}
{'loss': 4.9614, 'grad_norm': 2.199302911758423, 'learning_rate': 0.00020596638655462183, 'epoch': 0.94}
{'loss': 5.0124, 'grad_norm': 3.1300392150878906, 'learning_rate': 0.00020512605042016804, 'epoch': 0.95}
{'loss': 5.2037, 'grad_norm': 2.251439332962036, 'learning_rate': 0.00020428571428571428, 'epoch': 0.96}
{'loss': 5.2526, 'grad_norm': 2.3525099754333496, 'learning_rate': 0.0002034453781512605, 'epoch': 0.97}
{'loss': 5.0679, 'grad_norm': 2.8419699668884277, 'learning_rate': 0.00020260504201680672, 'epoch': 0.97}
{'loss': 4.9705, 'grad_norm': 2.7173964977264404, 'learning_rate': 0.00020176470588235295, 'epoch': 0.98}
{'loss': 4.9421, 'grad_norm': 2.752869129180908, 'learning_rate': 0.00020092436974789913, 'epoch': 0.99}
{'loss': 5.1168, 'grad_norm': 2.8983287811279297, 'learning_rate': 0.00020008403361344534, 'epoch': 1.0}
{'eval_loss': 7.65639591217041, 'eval_runtime': 767.9209, 'eval_samples_per_second': 5.614, 'eval_steps_per_second': 2.808, 'epoch': 1.0}
{'loss': 5.1218, 'grad_norm': 3.464124917984009, 'learning_rate': 0.00019924369747899157, 'epoch': 1.01}
{'loss': 5.3547, 'grad_norm': 3.142540693283081, 'learning_rate': 0.0001984033613445378, 'epoch': 1.02}
{'loss': 5.1217, 'grad_norm': 2.5380966663360596, 'learning_rate': 0.000197563025210084, 'epoch': 1.03}
{'loss': 5.1946, 'grad_norm': 2.3665947914123535, 'learning_rate': 0.00019672268907563025, 'epoch': 1.03}
{'loss': 5.1366, 'grad_norm': 2.10456919670105, 'learning_rate': 0.00019588235294117645, 'epoch': 1.04}
{'loss': 5.0988, 'grad_norm': 2.947615623474121, 'learning_rate': 0.0001950420168067227, 'epoch': 1.05}
{'loss': 4.8841, 'grad_norm': 2.7749147415161133, 'learning_rate': 0.0001942016806722689, 'epoch': 1.06}
{'loss': 5.1113, 'grad_norm': 2.895127773284912, 'learning_rate': 0.00019336134453781513, 'epoch': 1.07}
{'loss': 5.0661, 'grad_norm': 2.705549716949463, 'learning_rate': 0.00019252100840336134, 'epoch': 1.08}
{'loss': 5.2168, 'grad_norm': 3.5598998069763184, 'learning_rate': 0.00019168067226890754, 'epoch': 1.08}
{'loss': 5.1235, 'grad_norm': 2.308269500732422, 'learning_rate': 0.00019084033613445375, 'epoch': 1.09}
{'loss': 4.8164, 'grad_norm': 2.2936763763427734, 'learning_rate': 0.00018999999999999998, 'epoch': 1.1}
{'loss': 5.0096, 'grad_norm': 2.824554920196533, 'learning_rate': 0.0001891596638655462, 'epoch': 1.11}
{'loss': 5.0096, 'grad_norm': 2.3166556358337402, 'learning_rate': 0.00018831932773109242, 'epoch': 1.12}
{'loss': 5.2404, 'grad_norm': 3.417757034301758, 'learning_rate': 0.00018747899159663863, 'epoch': 1.13}
{'loss': 5.0648, 'grad_norm': 2.9189350605010986, 'learning_rate': 0.00018663865546218487, 'epoch': 1.13}
{'loss': 5.269, 'grad_norm': 3.341634750366211, 'learning_rate': 0.00018579831932773107, 'epoch': 1.14}
{'loss': 5.1607, 'grad_norm': 2.5073065757751465, 'learning_rate': 0.0001849579831932773, 'epoch': 1.15}
{'loss': 5.0455, 'grad_norm': 2.8756392002105713, 'learning_rate': 0.0001841176470588235, 'epoch': 1.16}
{'loss': 5.0413, 'grad_norm': 2.8726065158843994, 'learning_rate': 0.00018327731092436975, 'epoch': 1.17}
{'loss': 5.0731, 'grad_norm': 2.763265609741211, 'learning_rate': 0.00018243697478991593, 'epoch': 1.18}
{'loss': 5.191, 'grad_norm': 3.203322649002075, 'learning_rate': 0.00018159663865546216, 'epoch': 1.18}
{'loss': 5.0828, 'grad_norm': 2.219520330429077, 'learning_rate': 0.00018075630252100837, 'epoch': 1.19}
{'loss': 5.2147, 'grad_norm': 2.291558027267456, 'learning_rate': 0.0001799159663865546, 'epoch': 1.2}
{'loss': 5.0562, 'grad_norm': 2.17204213142395, 'learning_rate': 0.0001790756302521008, 'epoch': 1.21}
{'loss': 5.1742, 'grad_norm': 2.157078742980957, 'learning_rate': 0.00017823529411764704, 'epoch': 1.22}
{'loss': 5.0651, 'grad_norm': 2.765031337738037, 'learning_rate': 0.00017739495798319328, 'epoch': 1.23}
{'loss': 5.0955, 'grad_norm': 2.5907254219055176, 'learning_rate': 0.00017655462184873948, 'epoch': 1.24}
{'loss': 5.1538, 'grad_norm': 3.339965343475342, 'learning_rate': 0.00017571428571428572, 'epoch': 1.24}
{'loss': 5.0055, 'grad_norm': 2.3756585121154785, 'learning_rate': 0.00017487394957983193, 'epoch': 1.25}
{'loss': 5.0193, 'grad_norm': 3.1127922534942627, 'learning_rate': 0.00017403361344537816, 'epoch': 1.26}
{'loss': 4.9627, 'grad_norm': 3.3540937900543213, 'learning_rate': 0.00017319327731092434, 'epoch': 1.27}
{'loss': 4.8142, 'grad_norm': 3.614262580871582, 'learning_rate': 0.00017235294117647057, 'epoch': 1.28}
{'loss': 4.9266, 'grad_norm': 3.1294305324554443, 'learning_rate': 0.00017151260504201678, 'epoch': 1.29}
{'loss': 5.1703, 'grad_norm': 2.190216541290283, 'learning_rate': 0.00017067226890756301, 'epoch': 1.29}
{'loss': 5.1685, 'grad_norm': 2.520566940307617, 'learning_rate': 0.00016983193277310922, 'epoch': 1.3}
{'loss': 5.2455, 'grad_norm': 2.5845837593078613, 'learning_rate': 0.00016899159663865546, 'epoch': 1.31}
{'loss': 4.9726, 'grad_norm': 2.3813531398773193, 'learning_rate': 0.00016815126050420166, 'epoch': 1.32}
{'loss': 5.1541, 'grad_norm': 2.823751926422119, 'learning_rate': 0.0001673109243697479, 'epoch': 1.33}
{'loss': 5.0547, 'grad_norm': 2.6403920650482178, 'learning_rate': 0.0001664705882352941, 'epoch': 1.34}
{'loss': 4.9287, 'grad_norm': 3.9071285724639893, 'learning_rate': 0.00016563025210084034, 'epoch': 1.34}
{'loss': 4.9002, 'grad_norm': 3.3413171768188477, 'learning_rate': 0.00016478991596638654, 'epoch': 1.35}
{'loss': 5.023, 'grad_norm': 3.367429494857788, 'learning_rate': 0.00016394957983193275, 'epoch': 1.36}
{'loss': 4.8982, 'grad_norm': 3.184634208679199, 'learning_rate': 0.00016310924369747896, 'epoch': 1.37}
{'loss': 4.9236, 'grad_norm': 2.5650312900543213, 'learning_rate': 0.0001622689075630252, 'epoch': 1.38}
{'loss': 5.2686, 'grad_norm': 2.3736863136291504, 'learning_rate': 0.0001614285714285714, 'epoch': 1.39}
{'loss': 5.3165, 'grad_norm': 1.8677420616149902, 'learning_rate': 0.00016058823529411763, 'epoch': 1.39}
{'loss': 5.0121, 'grad_norm': 2.674574375152588, 'learning_rate': 0.00015974789915966384, 'epoch': 1.4}
{'loss': 5.0091, 'grad_norm': 2.63077449798584, 'learning_rate': 0.00015890756302521007, 'epoch': 1.41}
{'loss': 4.9961, 'grad_norm': 2.432398796081543, 'learning_rate': 0.00015806722689075628, 'epoch': 1.42}
{'loss': 5.2135, 'grad_norm': 2.7952687740325928, 'learning_rate': 0.00015722689075630251, 'epoch': 1.43}
{'loss': 4.9192, 'grad_norm': 3.1470048427581787, 'learning_rate': 0.00015638655462184875, 'epoch': 1.44}
{'loss': 5.0744, 'grad_norm': 2.149232864379883, 'learning_rate': 0.00015554621848739496, 'epoch': 1.45}
{'loss': 4.9649, 'grad_norm': 2.5000624656677246, 'learning_rate': 0.0001547058823529412, 'epoch': 1.45}
{'loss': 5.2383, 'grad_norm': 2.4366438388824463, 'learning_rate': 0.00015386554621848737, 'epoch': 1.46}
{'loss': 4.6984, 'grad_norm': 2.544884204864502, 'learning_rate': 0.00015302521008403358, 'epoch': 1.47}
{'loss': 5.0435, 'grad_norm': 2.7653377056121826, 'learning_rate': 0.0001521848739495798, 'epoch': 1.48}
{'loss': 5.1077, 'grad_norm': 2.4313559532165527, 'learning_rate': 0.00015134453781512604, 'epoch': 1.49}
{'loss': 5.0625, 'grad_norm': 5.77604866027832, 'learning_rate': 0.00015050420168067225, 'epoch': 1.5}
{'loss': 5.4012, 'grad_norm': 2.647237777709961, 'learning_rate': 0.00014966386554621849, 'epoch': 1.5}
{'loss': 4.7493, 'grad_norm': 3.684582471847534, 'learning_rate': 0.0001488235294117647, 'epoch': 1.51}
{'loss': 5.1007, 'grad_norm': 2.7035226821899414, 'learning_rate': 0.00014798319327731093, 'epoch': 1.52}
{'loss': 5.2497, 'grad_norm': 2.8740153312683105, 'learning_rate': 0.00014714285714285713, 'epoch': 1.53}
{'loss': 4.8902, 'grad_norm': 2.500694990158081, 'learning_rate': 0.00014630252100840334, 'epoch': 1.54}
{'loss': 5.0389, 'grad_norm': 2.635291814804077, 'learning_rate': 0.00014546218487394957, 'epoch': 1.55}
{'loss': 5.1966, 'grad_norm': 2.484633207321167, 'learning_rate': 0.00014462184873949578, 'epoch': 1.55}
{'loss': 5.0061, 'grad_norm': 2.5524919033050537, 'learning_rate': 0.00014378151260504202, 'epoch': 1.56}
{'loss': 4.8393, 'grad_norm': 5.036365509033203, 'learning_rate': 0.00014294117647058822, 'epoch': 1.57}
{'loss': 5.0037, 'grad_norm': 2.60793399810791, 'learning_rate': 0.00014210084033613443, 'epoch': 1.58}
{'loss': 5.0312, 'grad_norm': 2.9242262840270996, 'learning_rate': 0.00014126050420168066, 'epoch': 1.59}
{'loss': 5.2292, 'grad_norm': 2.8103179931640625, 'learning_rate': 0.00014042016806722687, 'epoch': 1.6}
{'loss': 5.0536, 'grad_norm': 2.4093778133392334, 'learning_rate': 0.0001395798319327731, 'epoch': 1.61}
{'loss': 5.2095, 'grad_norm': 2.5451581478118896, 'learning_rate': 0.0001387394957983193, 'epoch': 1.61}
{'loss': 4.8598, 'grad_norm': 2.6242594718933105, 'learning_rate': 0.00013789915966386552, 'epoch': 1.62}
{'loss': 4.8664, 'grad_norm': 2.362165927886963, 'learning_rate': 0.00013705882352941175, 'epoch': 1.63}
{'loss': 5.0289, 'grad_norm': 2.579263925552368, 'learning_rate': 0.00013621848739495796, 'epoch': 1.64}
{'loss': 5.1663, 'grad_norm': 2.1986560821533203, 'learning_rate': 0.0001353781512605042, 'epoch': 1.65}
{'loss': 5.0192, 'grad_norm': 2.5203917026519775, 'learning_rate': 0.0001345378151260504, 'epoch': 1.66}
{'loss': 5.26, 'grad_norm': 2.2780401706695557, 'learning_rate': 0.00013369747899159663, 'epoch': 1.66}
{'loss': 5.1506, 'grad_norm': 2.2899413108825684, 'learning_rate': 0.00013285714285714284, 'epoch': 1.67}
{'loss': 5.1241, 'grad_norm': 2.6735050678253174, 'learning_rate': 0.00013201680672268905, 'epoch': 1.68}
{'loss': 5.1948, 'grad_norm': 2.3640048503875732, 'learning_rate': 0.00013117647058823528, 'epoch': 1.69}
{'loss': 4.9642, 'grad_norm': 2.776416778564453, 'learning_rate': 0.00013033613445378152, 'epoch': 1.7}
{'loss': 5.1156, 'grad_norm': 2.5231032371520996, 'learning_rate': 0.00012949579831932772, 'epoch': 1.71}
{'loss': 5.0909, 'grad_norm': 3.0452866554260254, 'learning_rate': 0.00012865546218487393, 'epoch': 1.71}
{'loss': 4.8591, 'grad_norm': 2.3487439155578613, 'learning_rate': 0.00012781512605042016, 'epoch': 1.72}
{'loss': 4.9872, 'grad_norm': 2.9069559574127197, 'learning_rate': 0.00012697478991596637, 'epoch': 1.73}
{'loss': 4.9488, 'grad_norm': 3.579690456390381, 'learning_rate': 0.0001261344537815126, 'epoch': 1.74}
{'loss': 4.7146, 'grad_norm': 2.965693473815918, 'learning_rate': 0.0001252941176470588, 'epoch': 1.75}
{'loss': 5.098, 'grad_norm': 2.8287353515625, 'learning_rate': 0.00012445378151260505, 'epoch': 1.76}
{'loss': 5.0855, 'grad_norm': 2.3908333778381348, 'learning_rate': 0.00012361344537815125, 'epoch': 1.76}
{'loss': 5.0047, 'grad_norm': 3.050471782684326, 'learning_rate': 0.00012277310924369746, 'epoch': 1.77}
{'loss': 4.7956, 'grad_norm': 2.2661094665527344, 'learning_rate': 0.00012193277310924368, 'epoch': 1.78}
{'loss': 4.8267, 'grad_norm': 2.565833806991577, 'learning_rate': 0.0001210924369747899, 'epoch': 1.79}
{'loss': 5.0022, 'grad_norm': 2.681731939315796, 'learning_rate': 0.00012025210084033614, 'epoch': 1.8}
{'loss': 5.1644, 'grad_norm': 2.5849082469940186, 'learning_rate': 0.00011941176470588233, 'epoch': 1.81}
{'loss': 4.8788, 'grad_norm': 2.806415557861328, 'learning_rate': 0.00011857142857142855, 'epoch': 1.82}
{'loss': 5.0296, 'grad_norm': 4.252313137054443, 'learning_rate': 0.00011773109243697478, 'epoch': 1.82}
{'loss': 5.1867, 'grad_norm': 2.5561769008636475, 'learning_rate': 0.000116890756302521, 'epoch': 1.83}
{'loss': 5.1682, 'grad_norm': 2.975919485092163, 'learning_rate': 0.00011605042016806722, 'epoch': 1.84}
{'loss': 5.1573, 'grad_norm': 3.4681429862976074, 'learning_rate': 0.00011521008403361344, 'epoch': 1.85}
{'loss': 4.8864, 'grad_norm': 3.114448308944702, 'learning_rate': 0.00011436974789915965, 'epoch': 1.86}
{'loss': 5.0206, 'grad_norm': 3.68512225151062, 'learning_rate': 0.00011352941176470587, 'epoch': 1.87}
{'loss': 5.1459, 'grad_norm': 2.834852457046509, 'learning_rate': 0.00011268907563025209, 'epoch': 1.87}
{'loss': 5.2419, 'grad_norm': 2.6486337184906006, 'learning_rate': 0.00011184873949579831, 'epoch': 1.88}
{'loss': 4.997, 'grad_norm': 2.516512393951416, 'learning_rate': 0.00011100840336134453, 'epoch': 1.89}
{'loss': 5.1736, 'grad_norm': 2.5504443645477295, 'learning_rate': 0.00011016806722689075, 'epoch': 1.9}
{'loss': 5.1911, 'grad_norm': 3.0572760105133057, 'learning_rate': 0.00010932773109243696, 'epoch': 1.91}
{'loss': 4.8652, 'grad_norm': 2.6045877933502197, 'learning_rate': 0.00010848739495798318, 'epoch': 1.92}
{'loss': 4.8663, 'grad_norm': 2.698225498199463, 'learning_rate': 0.0001076470588235294, 'epoch': 1.92}
{'loss': 5.2169, 'grad_norm': 2.484854221343994, 'learning_rate': 0.00010680672268907562, 'epoch': 1.93}
{'loss': 4.9783, 'grad_norm': 2.477245807647705, 'learning_rate': 0.00010596638655462184, 'epoch': 1.94}
{'loss': 5.1619, 'grad_norm': 2.854395866394043, 'learning_rate': 0.00010512605042016805, 'epoch': 1.95}
{'loss': 5.0694, 'grad_norm': 2.9873290061950684, 'learning_rate': 0.00010428571428571427, 'epoch': 1.96}
